LogID,ProductID,QuantityChanged,LogDate
501,1,20,2024-03-01
502,2,15,2024-03-01
503,3,36,2024-03-01
504,4,21,2024-03-01
505,5,56,2024-03-01
506,6,42,2024-03-01
507,7,12,2024-03-01
508,8,89,2024-03-01
509,9,100,2024-03-01
510,10,56,2024-03-01
511,11,74,2024-03-01
512,12,56,2024-03-01
513,13,32,2024-03-01
514,14,56,2024-03-01
515,15,41,2024-03-01
516,16,25,2024-03-01
517,17,87,2024-03-01
518,18,69,2024-03-01
519,19,64,2024-03-01
520,20,45,2024-03-01
521,21,25,2024-03-01
522,22,36,2024-03-01
523,23,85,2024-03-01
524,24,75,2024-03-01
525,25,65,2024-03-01
526,26,45,2024-03-01
527,27,25,2024-03-01
528,28,36,2024-03-01
529,29,45,2024-03-01
530,30,78,2024-03-01
531,31,96,2024-03-01
532,32,54,2024-03-01
533,33,18,2024-03-01
534,34,65,2024-03-01
535,35,79,2024-03-01
536,36,36,2024-03-01
537,37,39,2024-03-01
538,38,45,2024-03-01
539,39,98,2024-03-01
540,40,65,2024-03-01
541,41,32,2024-03-01
542,42,78,2024-03-01
543,43,98,2024-03-01
544,44,65,2024-03-01
545,45,35,2024-03-01
546,46,89,2024-03-01
547,45,-5,2024-03-01
